,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
199410,0.21,2.35,1.19,1.73,2.43
199411,-4.23,-3.9,-3.54,-3.5,-3.32
199412,0.44,2.71,1.32,1.44,0.88
199501,2.05,1.01,0.44,2.75,3.21
199502,3.56,3.21,4.83,4.61,3.62
199503,2.29,3.21,2.6,2.5,2.67
199504,1.81,2.74,2.13,1.95,3.44
199505,2.45,2.58,3.59,4,3.8
199506,4.94,2.96,3.4,1.66,3.64
199507,5.07,4.08,5.04,3.59,3.86
199508,3.54,0.99,-0.34,0.4,1.38
199509,2.83,2.24,2.24,3.63,5.63
199510,-3.37,-2.72,-1.98,-1.5,0.89
199511,4.53,6.31,4.51,4.84,3.34
199512,1.62,2.42,1.44,2.13,0.83
199601,2.14,2.01,2.83,2.59,3.24
199602,1.96,2.1,2.58,1.49,1.5
199603,-0.48,2.44,1.48,2.37,0.1
199604,3.58,2.09,1.42,1.39,3.11
199605,2.52,2.24,1.85,2.49,3.57
199606,-3.94,-1.27,-1.37,-0.42,0.83
199607,-9.52,-6.8,-5.35,-4.82,-4.22
199608,4.48,4.21,3.75,3.28,1.91
199609,3.95,3.41,4.64,5.88,6.26
199610,-1.68,2.55,1.82,2.42,1.4
199611,4.49,5.04,5.52,7.58,8.07
199612,-0.43,-0.69,-0.95,-1.6,-1.59
199701,3.19,4.45,3.56,6.27,6.76
199702,-1.71,-0.26,0.11,0.34,0.47
199703,-5.29,-4.05,-3.28,-3.4,-5.82
199704,-0.03,1.9,3.13,6.04,6.51
199705,10.29,7.92,6.43,6.3,6.72
199706,3.8,4.89,3.44,5.45,3.74
199707,7.25,7.23,7.8,8.96,7.21
199708,-0.88,-1.5,-2.6,-3.91,-5.7
199709,7.48,6.53,5.3,5.72,5.3
199710,-5.16,-3.79,-3.41,-2.95,-2.95
199711,-0.46,0.8,2.6,3.12,6.04
199712,-0.24,2.82,3.38,2.3,1.19
199801,1.74,-1.03,-2.25,-0.28,2.56
199802,8.94,8.28,7.9,7.84,6.37
199803,7.48,3.45,4.95,2.88,6.17
199804,3.16,1.66,1.73,2.28,-0.11
199805,-4.81,-2.85,-0.85,-3.11,-1.88
199806,4.45,1.97,2.05,1.84,5.61
199807,-4.45,-3.9,-3.05,-1.37,-0.87
199808,-20.2,-16.42,-13.58,-15.74,-14.37
199809,9.13,4.9,5.77,4.5,7.84
199810,6.25,5.88,7.23,8.46,7.65
199811,8.27,5.52,6.4,4.64,7.62
199812,9.88,5.42,5.11,6.41,6.18
199901,7.16,0.85,1.19,2.18,4.92
199902,-3.05,-1.93,-3.24,-3.44,-4.65
