,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
197809,-0.3,-1.28,-1.33,-1.29,-0.59
197810,-20.84,-19.18,-17.17,-13.73,-8.49
197811,5.13,6.18,4.83,3.17,3.04
197812,1.9,2.52,2.1,1.24,1.67
197901,9.66,8.19,7.35,6.14,3.84
197902,-2.1,-2.65,-2.44,-3.47,-2.83
197903,8.41,9.22,9.54,8.22,5.38
197904,3.04,2.27,1.78,1.48,0.2
197905,-0.56,-1.16,-1.66,-0.88,-1.5
197906,5.4,6.48,5.33,6.34,4.04
197907,2.36,3.08,3.57,2.55,0.97
197908,7.49,7.77,7.27,7.22,5.72
197909,-0.47,-0.44,-0.46,-0.58,0.27
197910,-10.59,-10.67,-9.18,-8.65,-6.12
197911,7.5,8.34,8.4,7.64,5.45
197912,7.62,6.44,4.45,3.68,1.63
198001,10.19,7,6.74,6.22,5.9
198002,-0.97,-1.87,-2.77,-2.33,0.53
198003,-18.75,-17.2,-16.05,-13.47,-9.56
198004,6.14,6.02,7.32,6.56,4.43
198005,6.86,8.82,7.78,8.37,5.1
198006,4.58,4.86,4.81,4.94,3
198007,9.9,10.75,9.23,7.72,6.11
198008,7.83,5.9,4.32,2.36,1.53
198009,4.22,3.06,3.23,3.05,2.87
198010,5.16,3.37,2.31,0.83,1.87
198011,7.56,8.32,6.99,8.32,12.07
198012,-4.57,-2.75,-2.62,-2.18,-3.28
198101,-0.48,-1.25,-1.61,-2.86,-5.18
198102,-0.39,1.68,2.02,2.29,1.76
198103,7.54,7.79,7.86,8.19,2.84
198104,3.86,3.22,2.2,0,-2.29
198105,3.46,3.43,2.89,2.25,0.39
198106,-1.5,-2.58,-1.83,-1.49,-0.32
198107,-2.79,-2.13,-1.82,-1.04,0.52
198108,-8.34,-7.35,-6.42,-5.29,-5.38
198109,-9.48,-7.35,-6.36,-6.75,-5.29
198110,7.84,8.2,7.24,6.4,5.65
198111,2.04,3.95,2.74,4.76,4.78
198112,-1.83,-1.78,-1.99,-2.52,-3.07
198201,-1.86,-3.6,-3.81,-3.91,-1.82
198202,-4.48,-4.34,-3.99,-3.86,-5.47
198203,-1.14,-0.87,-0.27,-1,-0.84
198204,5.31,5.78,5.42,5,4.01
198205,-1.76,-3.27,-2.49,-4,-2.61
198206,-2.94,-2.19,-2.31,-2.11,-1.97
198207,-1.87,-0.91,-1.76,-2.88,-2.12
198208,5.49,8.14,11.18,12.55,12.52
198209,3.64,4.11,3.9,2.99,0.99
198210,13.98,13.96,13.95,14.06,10.74
198211,10.18,8.79,8.41,6.34,3.97
198212,2,0.63,0.52,1.38,1.32
198301,10.21,6.46,4.49,3.55,3.67
198302,5.36,5.93,5.1,3.27,2.52
198303,5.2,3.97,4.7,3.02,3.26
198304,8.15,8.24,6.77,6.54,7.45
198305,9.55,5.48,4.14,3.8,-1.08
198306,4.06,4.63,4.08,3.31,3.77
198307,-2.23,-3.02,-2.96,-3.37,-3.49
198308,-3.33,-3.11,-2.69,-0.13,1.6
198309,-0.23,2.58,3.33,2.43,1.36
198310,-6.06,-6.28,-4.88,-3.7,-1.32
198311,3.13,5.08,4.84,4.73,1.77
198312,-1.83,-1.39,-1.67,-2.01,-0.47
198401,-0.03,-1.38,-3.56,-3.34,-0.22
198402,-5.66,-4.86,-5.79,-5.03,-3.24
198403,0.65,0.83,1.33,1.84,1.09
198404,-1.75,-0.11,-0.19,-1.61,1.25
198405,-5.11,-5.11,-5.62,-5.27,-5
198406,1.82,3.19,3.41,3.42,2.79
198407,-4.89,-4.13,-3.2,-3.52,-0.84
198408,9,11.92,12.79,12.27,10.75
198409,-0.27,-0.65,0.23,0.49,0.07
198410,-2.08,-0.89,-0.55,0.19,0.56
198411,-2.85,-2.22,-0.28,-0.83,-0.89
198412,0.9,2.06,2.78,2.72,2.58
198501,12.72,12.29,10.49,9.81,7.3
198502,3.56,2.53,1.07,1.62,1.71
198503,-1.44,-1.82,-1.21,-0.21,0.26
198504,-0.52,-0.62,-0.16,-0.53,-0.11
198505,2.84,4.16,4.9,5.73,6.29
198506,1.74,2.65,2.75,2.01,1.6
198507,2.59,2.84,1.69,-0.06,-0.87
198508,-0.48,-0.43,-0.88,-0.4,-0.42
198509,-5.69,-5.65,-4.69,-5.09,-3.15
198510,2.25,4.21,3.59,5.23,4.9
198511,5.78,7.62,6.97,7.18,7.1
198512,3.81,4.32,4.21,3.95,4.85
198601,3.77,1.32,2.31,1.76,0.53
198602,6.42,7.68,7.37,7.74,7.8
198603,4.84,4.62,5.67,5.34,5.61
198604,1.82,1.18,1.16,-0.99,-1.38
198605,3.94,4.01,5.02,5.14,5.43
198606,0.9,1.18,0.95,1.39,1.82
198607,-8.35,-8.83,-8.13,-6.6,-5
198608,0.73,3.88,5.57,7.39,7.2
198609,-6.49,-6.62,-6.36,-7.01,-8.91
198610,1.9,4.02,3.2,5.65,5.61
198611,-0.94,-0.44,0.02,0.82,2.33
198612,-3.76,-2.71,-2.22,-3.35,-2.62
198701,10.85,11.98,11.79,12.84,13.16
198702,8.05,7.86,6.73,5.55,3.79
198703,2.64,1.83,1.36,1.4,2.3
198704,-2.11,-3.03,-2.56,-2.64,-1.19
198705,-0.28,-0.74,0.5,0.53,0.77
198706,1.42,2.68,3.22,3.85,5.18
198707,2.33,3.14,4.4,4.89,4.46
198708,1.64,3.66,3.19,3.55,4.34
198709,-1.83,-2.09,-2.32,-1.43,-2.29
198710,-29.63,-29.23,-27.06,-25.12,-20.31
198711,-5.35,-4.91,-3.99,-5.27,-8.55
198712,3.64,8.08,8.3,8.58,6.85
198801,6.37,4.1,4.33,3.7,4.75
198802,6.44,8.42,7.75,7.6,4
198803,4.54,3.6,1.58,0.67,-3.66
198804,1.69,2.51,0.71,0.52,0.98
198805,-2.2,-2.55,-0.47,-0.09,0.85
198806,5.33,7.51,6.42,6.74,4.54
198807,-0.09,-0.69,-1.85,-1.78,-0.36
198808,-2.41,-2.57,-2.47,-1.77,-3.04
198809,1.61,2.73,2.59,3.2,4.5
198810,-1.6,-0.8,0.08,0.32,2.84
198811,-4.03,-2.86,-2.42,-2.16,-1.29
198812,2.38,3.99,3.6,2.15,1.8
198901,4.95,4.6,5.31,5.94,7.19
198902,0.43,1.34,0.4,-0.06,-2.63
198903,2.19,2.13,2.13,1.45,2.43
198904,2.82,4.58,5.14,5.29,5.17
198905,3.08,3.72,4.72,3.97,4.19
198906,-1.35,-1.99,-1.04,-0.11,-0.51
198907,2.8,4.43,4.79,7.49,8.91
198908,1.86,3.3,3.24,3.43,1.72
198909,0.19,0.56,-0.3,-1.49,0.22
198910,-5.7,-6.02,-5.21,-4.61,-1.96
198911,-0.58,0.59,1.44,1.52,2.02
198912,-1.49,0.48,0.24,1.95,2.24
199001,-6.67,-8.8,-8.25,-7.98,-6.81
199002,1.89,3.13,2.86,1.93,1.35
199003,2.34,3.97,2.69,2.59,2.3
199004,-2.76,-3.61,-3.6,-4.5,-2.13
199005,4.96,7.33,7.78,9.27,9.45
199006,0.64,-0.29,0.23,-0.85,-0.58
199007,-4.31,-4.17,-3.75,-2.25,-0.34
199008,-13.15,-12.85,-11.94,-10.14,-8.69
199009,-9,-9.07,-8.21,-7.2,-4.5
199010,-6.63,-5.8,-4.59,-3.01,-0.05
199011,2.89,7.39,9.07,8.97,6.44
199012,0.14,4.47,4.79,4.07,2.72
199101,7.8,7.92,7.85,6.16,4.49
199102,12.83,11.16,9.28,8.67,6.97
199103,8.07,6.23,4.88,3.95,2.37
199104,1.26,0.35,0.37,0.81,0.1
199105,3.2,4.3,4.31,4.98,3.92
199106,-4.54,-4.31,-4.07,-4.64,-4.5
199107,3.25,3.98,5.28,4.65,4.79
199108,3.09,3.67,4.35,2.46,2.63
199109,1.28,0.5,-0.52,-0.61,-1.5
199110,3.94,2.36,2.53,1.83,1.43
199111,-3.23,-5.07,-4.61,-3.73,-3.57
199112,4.91,8.38,11.05,10.91,11.66
199201,13.88,7.3,4.49,1.21,-2.24
199202,4.36,2.41,2.73,2.01,0.85
199203,-3.03,-3.66,-2.38,-2.97,-1.94
199204,-5.04,-3.84,-1.68,0.9,2.77
199205,0.05,0.75,0.92,0.56,0.65
199206,-5.09,-3.73,-2.94,-2.02,-1.63
199207,2.81,3.66,4.65,4.27,4.1
