"","Year","Month","Stock_lag_MV","Stock_Ew_Ret","Stock_Vw_Ret"
"424",1961,4,334707,0.0087437577092511,0.00464500350326915
"425",1961,5,336481,0.0407824498239437,0.0258179434954374
"426",1961,6,343411,-0.0407655665502561,-0.0287549598277314
"427",1961,7,333348,0.0109132550394391,0.0301482500538279
"428",1961,8,344596,0.0206092733624454,0.027156687068885
"429",1961,9,352555,-0.0281307758470895,-0.0197826720465708
"430",1961,10,345351,0.0199727660311958,0.0276196652043951
"431",1961,11,355030,0.0446935203463203,0.0460356293126056
"432",1961,12,369688,-0.00394169516407599,0.000126809624299211
"433",1962,1,372023,-0.00771090419442931,-0.0363327297441925
"434",1962,2,358754,0.0144330482342808,0.0200966505940451
"435",1962,3,365425,-0.00585035909554522,-0.00480892342491435
"436",1962,4,363292,-0.0659015525221338,-0.0635881225388892
"437",1962,5,340096,-0.0942278833619211,-0.0840663228118632
"438",1962,6,310052,-0.0470030969785575,-0.082774670763032
"439",1962,7,282519,0.0350438283908605,0.065425536061685
"440",1962,8,323511,0.0355115260170944,0.0236150119342133
"441",1962,9,329466,-0.0620071530258553,-0.0500932680882448
"442",1962,10,312629,-0.0383328626195007,0.00202443525945739
"443",1962,11,312459,0.114925163598998,0.11066914566096
"444",1962,12,344895,-0.0258775493697286,0.0124513119741263
"445",1963,1,350084,0.0850159911662617,0.0518434595764904
"446",1963,2,367917,-0.0165450656370656,-0.0215852684863644
"447",1963,3,358327,0.0106530142442925,0.0330675100581655
"448",1963,4,369891,0.0244824336538462,0.0476300184492572
"449",1963,5,387685,0.0305253052228079,0.0199862660090843
"450",1963,6,393598,-0.00981370568821744,-0.0177387025055875
"451",1963,7,386280,-0.00616528824091778,-0.0012291339030021
"452",1963,8,385320,0.0400990246014871,0.0531776495014963
"453",1963,9,404344,-0.0101165050215208,-0.01281496285164
"454",1963,10,398607,0.0112652039821248,0.0283054087095361
"455",1963,11,409159,-0.0156058975346364,-0.00581962647999921
"456",1963,12,401014,-0.00534673028726138,0.0211804291273374
"457",1964,1,412668,0.0303745294117647,0.0253499461799502
"458",1964,2,425322,0.0240406213106584,0.0180611828846804
"459",1964,3,432400,0.0246943650803252,0.0172002376024819
"460",1964,4,439454,0.000244969184147225,0.00395822205297256
"461",1964,5,442919,0.00574403007324238,0.0167350578323566
"462",1964,6,448062,0.0101718561612568,0.0156935055639222
"463",1964,7,454688,0.0283243142675215,0.0204059692765493
"464",1964,8,464519,-0.00610726984126984,-0.0115829801859181
"465",1964,9,456928,0.0355601215649744,0.02972293957713
"466",1964,10,470428,0.0183016113005408,0.00890323383442064
"467",1964,11,473796,-0.000216358427553022,0.00286881280233202
"468",1964,12,470283,-0.0127290740925503,0.00344118053272283
"469",1965,1,475686,0.0677853588910685,0.0382392846560995
"470",1965,2,493643,0.0320767593706617,0.00743857450526607
"471",1965,3,495415,0.0146762433056325,-0.00980550626706699
"472",1965,4,491140,0.040088532290929,0.0341680085828215
"473",1965,5,507845,-0.00660262947658402,-0.00463507591470774
"474",1965,6,504140,-0.0792610485792851,-0.0515013335448104
"475",1965,7,477506,0.0275428520547945,0.0174551039017132
"476",1965,8,485226,0.0394828515447854,0.0305859183210671
"477",1965,9,497736,0.0249470500754129,0.0317116657730159
"478",1965,10,512695,0.0555171556267514,0.0291148101349491
"479",1965,11,527450,0.0448028377885888,0.00331497243726133
"480",1965,12,525061,0.0410307770940291,0.0134365283238843
"481",1966,1,536917,0.0591629457414249,0.0109327194701378
"482",1966,2,542770,0.0284179136986301,-0.00857694768280957
"483",1966,3,535694,-0.00966965923710339,-0.0212929677840851
"484",1966,4,522971,0.0444623558086123,0.0248210587390146
"485",1966,5,535419,-0.0821056117708019,-0.0525090272944659
"486",1966,6,505520,-0.00453044595168578,-0.0106358586168575
"487",1966,7,499868,-0.0148604420387912,-0.012709841939207
"488",1966,8,493395,-0.0955010762979684,-0.0749729566519634
"489",1966,9,454187,-0.0175730577936275,-0.00655865169220845
"490",1966,10,450059,-0.0138890069379054,0.0431302634350836
"491",1966,11,468954,0.0397669554054054,0.0179676818161718
"492",1966,12,474544,0.01555086381343,0.00536760452144838
"493",1967,1,481205,0.165615215252708,0.085786304302882
"494",1967,2,522126,0.0409810114709815,0.0113620982611334
"495",1967,3,526314,0.0561700683045596,0.0438595417711563
"496",1967,4,548456,0.0400215562337879,0.0421451234907861
"497",1967,5,570983,-0.00780756247201075,-0.0397204701478897
"498",1967,6,544579,0.0786852186789416,0.0268791387018846
"499",1967,7,557590,0.0789813019632696,0.048988643820141
"500",1967,8,583905,0.00582806476461642,-0.00579894953780263
"501",1967,9,577238,0.0595415587193747,0.0342569127089818
"502",1967,10,594275,-0.0196971815453618,-0.0269260511267159
"503",1967,11,578582,0.000385771607702643,0.0071703369918421
"504",1967,12,580044,0.0775891994252844,0.033843286083769
"505",1968,1,610416,0.0212980537820831,-0.036283797335633
"506",1968,2,585944,-0.053871447380206,-0.0335756978025091
"507",1968,3,563947,-0.0099893806231178,0.00594328362834407
"508",1968,4,565720,0.136445193709457,0.0948092760119724
"509",1968,5,617973,0.0861459401996339,0.0272430239409715
"510",1968,6,632930,0.0154786453371276,0.0112538376260578
"511",1968,7,639514,-0.0255952672185243,-0.0220450283700904
"512",1968,8,623643,0.0336016721225123,0.0177486705784076
"513",1968,9,634263,0.0645279829846661,0.0447813942625479
"514",1968,10,661254,0.00615331857235406,0.00867210393589258
"515",1968,11,665579,0.0675776221706058,0.0585310343196424
"516",1968,12,703236,0.00412361847130062,-0.0350216362367054
"517",1969,1,697213,-0.00341197806440167,-0.00722736194780671
"518",1969,2,691901,-0.0809371329442066,-0.0538281516709188
"519",1969,3,653247,0.0185522872780432,0.0313834696745823
"520",1969,4,672552,0.00266144967320262,0.0199190208086232
"521",1969,5,688435,0.00446189638708279,0.0040024746639937
"522",1969,6,687482,-0.105629645662495,-0.0667427486885201
"523",1969,7,641129,-0.0899859649458701,-0.0648103603345394
"524",1969,8,600214,0.0487532379167678,0.0519178535385962
"525",1969,9,629720,-0.02284533804,-0.023562617889423
"526",1969,10,614885,0.08818584157463,0.0565374957647449
"527",1969,11,649661,-0.0524041342905405,-0.0327326552531001
"528",1969,12,626136,-0.0621372440605939,-0.0198629814294339
"529",1970,1,622574,-0.0375332527242246,-0.0749100674313974
"530",1970,2,575921,0.0382055189662359,0.057457176312412
"531",1970,3,608606,-0.0226251730290456,-0.0048307643647132
"532",1970,4,604803,-0.152841608515916,-0.104970489375983
"533",1970,5,540255,-0.0850419835797907,-0.0639274455521853
"534",1970,6,502780,-0.0704200674609523,-0.0520553267634173
"535",1970,7,475975,0.05368955749975,0.0744227640063861
"536",1970,8,513959,0.0573493583435834,0.050133609100863
"537",1970,9,537454,0.117857107346939,0.0471908375081819
"538",1970,10,562620,-0.0550244162271805,-0.0181570282851844
"539",1970,11,551575,0.00217959038136974,0.0505394182843112
"540",1970,12,577625,0.0770342243410225,0.0615258764172524
"541",1971,1,621371,0.126495404752316,0.0521565163705494
"542",1971,2,653333,0.0453423577826962,0.0173087910047005
"543",1971,3,661654,0.0518050095923261,0.0442489165436923
"544",1971,4,691084,0.0256898048139758,0.0343227825832835
"545",1971,5,714554,-0.047105496137084,-0.0369198383472181
"546",1971,6,686669,-0.016503183816387,0.00282355251036957
"547",1971,7,686487,-0.0514099057781834,-0.0409054154936492
"548",1971,8,659044,0.0386609722004699,0.0425742697792971
"549",1971,9,685266,-0.00487349180967239,-0.0048327021237096
"550",1971,10,681779,-0.0537846348837209,-0.0405265850987946
"551",1971,11,653529,-0.0309399173855732,-0.000889174035233008
"552",1971,12,651033,0.108590871387372,0.0906592681154323
"553",1972,1,723960,0.0957704646387833,0.0277270703495526
"554",1972,2,744660,0.0376333205904618,0.0311440385028347
"555",1972,3,766011,-0.000116691381257056,0.00898754980497289
"556",1972,4,772386,0.00074496603210153,0.00576302135326716
"557",1972,5,776703,-0.0177071200149087,0.0155682474096014
"558",1972,6,786260,-0.0316393419881306,-0.0213695685559489
"559",1972,7,769549,-0.0292582619638673,-0.00485808821970899
"560",1972,8,765647,0.010191304587156,0.0354722344884352
"561",1972,9,791674,-0.0292354447324019,-0.00794875041966353
"562",1972,10,785608,-0.0144512721435484,0.00915660094133612
"563",1972,11,792554,0.0224328131101813,0.0496791724155229
"564",1972,12,828815,-0.00951317721755347,0.00991558680237955
"565",1973,1,977874,-0.0266592152078662,-0.0284748295875126
"566",1973,2,950200,-0.0711724134413338,-0.044276984101002
"567",1973,3,904016,-0.0291249750092593,-0.00868100838806308
"568",1973,4,895316,-0.067832735999185,-0.0515796745462854
"569",1973,5,848279,-0.0806811658413325,-0.0244012895697939
"570",1973,6,823685,-0.0380187746526775,-0.0105036276166629
"571",1973,7,813791,0.0997937692980921,0.0568221360342123
"572",1973,8,858275,-0.0419377227546309,-0.0312091585419938
