"","Year","Month","Bond_lag_MV","Bond_Ew_Ret","Bond_Vw_Ret"
"235",1945,7,95453,-0.000250848437209302,-0.000526936898705122
"236",1945,8,111272,-0.000596279802173913,0.000109827100758502
"237",1945,9,111272,0.00190492568913043,0.00214220857186893
"238",1945,10,111272,0.0039037675326087,0.0042292941696141
"239",1945,11,111272,0.0038094970326087,0.00398935380496082
"240",1945,12,111272,0.00513661992391304,0.00568204635307355
"241",1946,1,126260,0.00894133904583333,0.0119895321402447
"242",1946,2,126260,0.00462395492083333,0.00719324408364407
"243",1946,3,126260,0.00029658001875,0.00171587626620228
"244",1946,4,126260,-0.00766691689583333,-0.0103907262495565
"245",1946,5,126260,0.00163139486458333,0.00301342850421274
"246",1946,6,129034,0.0031529153122449,0.00365688843285878
"247",1946,7,131951,-0.001815531348066,-0.00316946168115755
"248",1946,8,133174,-0.00124877141568627,-0.00119577170028534
"249",1946,9,135515,-0.00248980124230769,-0.00230461119584548
"250",1946,10,136954,0.00348796258301887,0.00462807604192503
"251",1946,11,138731,-0.00144835199259259,-0.00245054913275476
"252",1946,12,142004,0.00482743231090909,0.00633104282557182
"253",1947,1,145136,0.00220363037142857,0.00226784985976601
"254",1947,2,149083,0.00169081535087719,0.00216176666906287
"255",1947,3,151224,0.00212521457413793,0.00259638025014746
"256",1947,4,151224,-0.000416002064434483,-9.06602484316537e-05
"257",1947,5,150771,0.00134233840689655,0.00166390049219412
"258",1947,6,147854,-0.00021541461754386,-0.000980325906637629
"259",1947,7,143293,0.00158217991071429,0.00136801411902186
"260",1947,8,148809,0.00271906323508772,0.00343058033813345
"261",1947,9,144338,0.000197417787272727,0.00011075457931799
"262",1947,10,149452,-0.00358672624107143,-0.00478193613865254
"263",1947,11,150919,-0.00277991593684211,-0.00289154900362777
"264",1947,12,143813,-0.00527136626866111,-0.00474808369999639
"265",1948,1,149937,0.000912991591071429,0.00146716461200904
"266",1948,2,146038,0.00285633734363636,0.0022751835376943
"267",1948,3,147888,0.00293183726296296,0.00267573890647179
"268",1948,4,146980,0.00187871476296296,0.00188859470477004
"269",1948,5,145203,0.00511769880377358,0.00562841363052279
"270",1948,6,140367,-0.001995782532,-0.00229154699631395
"271",1948,7,146150,-0.000349914680392157,0.000142220546566541
"272",1948,8,146150,0.00053409147254902,0.00100476705758057
"273",1948,9,135043,0.000924539545652174,0.00119554898245522
"274",1948,10,145173,0.000504137665333333,0.00111802176539464
"275",1948,11,148977,0.0034350984,0.00290264014939622
"276",1948,12,146587,0.00300695348888889,0.00320556265167853
"277",1949,1,145223,0.00320096862777778,0.00333997157700089
"278",1949,2,147678,0.00191823160555556,0.00237773004446363
"279",1949,3,146952,0.00227243232264151,0.00241089037989752
"280",1949,4,151644,0.00158128907678571,0.00134985672617776
"281",1949,5,146639,0.0016207614537037,0.00184228048073841
"282",1949,6,140534,0.00486513874528302,0.00659108267180398
"283",1949,7,145559,0.00257950660555556,0.00355833409724236
"284",1949,8,150454,0.00337198939074074,0.00402000731667885
"285",1949,9,144016,0.000991311335849057,0.00139157362649914
"286",1949,10,151561,0.00145037132545455,0.00152942030681772
"287",1949,11,150161,0.00157919431111111,0.00192481761605477
"288",1949,12,140868,0.002575363686,0.00327852531837252
"289",1950,1,148081,-0.00124946145684,-0.00196956530458404
"290",1950,2,145730,0.000460710942,0.000141146740349962
"291",1950,3,141475,0.000161320816666667,-0.000371106508494787
"292",1950,4,146167,-6.8217964e-05,-0.00033151634715223
"293",1950,5,144434,0.00142895191020408,0.00131562541060069
"294",1950,6,140642,-0.000231131269387755,-0.000612183870062997
"295",1950,7,151015,0.00254214567058824,0.0020200681239996
"296",1950,8,149516,0.00078278278056,0.00105102038813574
"297",1950,9,137347,-0.000930214808510638,-0.00117987136874486
"298",1950,10,147532,-0.000337273147916667,-0.000127299372163327
"299",1950,11,148231,0.00123546568367347,0.00131512219575662
"300",1950,12,140525,0.00125354520851064,0.00123993209137235
"301",1951,1,146377,0.0025402402,0.00235747107097017
"302",1951,2,147077,3.29222458333334e-05,0.000273243049407453
"303",1951,3,147386,-0.0064977916,-0.00776077749150123
"304",1951,4,149480,-0.0011552455875,-0.00349627024369414
"305",1951,5,134396,-0.000526615274468085,-0.000361402376937558
"306",1951,6,123725,0.00159070083181818,0.00165937621440695
"307",1951,7,126881,0.00451035315348837,0.00470065291793649
"308",1951,8,133810,0.00602533072222222,0.00648304541185337
"309",1951,9,132840,-0.00253792501363636,-0.00311926402587097
"310",1951,10,120834,0.0014071213547619,0.00137798363520284
"311",1951,11,136583,-0.000502628342553191,-0.00055707418569002
"312",1951,12,135609,-0.00106555769130435,-0.0014294934975186
"313",1952,1,137678,0.00358086272291667,0.00417607718080231
"314",1952,2,136755,0.00103881890212766,0.000849006371476728
"315",1952,3,135888,0.00457796493829787,0.00491785739930384
"316",1952,4,134487,0.00605561905869565,0.00656379327848417
"317",1952,5,137112,0.0007830739,0.0009957938298165
"318",1952,6,131342,-0.000336220478130435,-0.000237704803328867
"319",1952,7,138548,-0.000577460725531915,-0.000518562536767041
"320",1952,8,136458,-0.00125131278695652,-0.0013891977784703
"321",1952,9,126859,-0.00207845254,-0.00236577572912683
"322",1952,10,137770,0.00487256976595745,0.00581344092966974
"323",1952,11,140227,0.0009386911125,0.000704994430564014
"324",1952,12,142382,-9.69036541666667e-05,-4.34707376711944e-05
"325",1953,1,142773,0.00116363415714286,0.00138535516715906
"326",1953,2,134205,-0.00117188887708333,-0.00171710853826385
"327",1953,3,139743,-0.000911063435416667,-0.000500521053043802
"328",1953,4,140149,-0.00366972662040816,-0.00409758533080864
"329",1953,5,135658,-0.00620340046938775,-0.00599908012768064
"330",1953,6,139243,0.009912648325,0.0102685852135037
"331",1953,7,141722,0.004091672738,0.00406446155733902
"332",1953,8,144770,0.001590108588,0.00186848355888167
"333",1953,9,137408,0.01254968583125,0.0126428971832666
"334",1953,10,146658,0.0053556726745098,0.00479411902051439
"335",1953,11,136225,5.57490333333334e-05,-0.000171351414698477
"336",1953,12,147014,0.00826157327884615,0.00840625496033711
"337",1954,1,148527,0.00686930417169811,0.00672709353344375
"338",1954,2,140437,0.00595778752115385,0.00584309814923489
"339",1954,3,140786,0.0032837204254902,0.00364515705920404
"340",1954,4,144176,0.00466057407924528,0.0056927891470758
"341",1954,5,140160,-0.00443221625,-0.0057033196423359
"342",1954,6,142737,0.006210050782,0.0068103562848953
"343",1954,7,144281,0.00232243383137255,0.00217669064922755
"344",1954,8,143724,-0.000874811098,-0.00117008287573613
"345",1954,9,147873,-0.000192758455769231,0.000123199991984338
"346",1954,10,147909,-0.000188343176923077,-0.000248924245828854
"347",1954,11,150597,-0.00037785492290566,-0.00083801120767933
"348",1954,12,134747,0.000106549880392157,0.000246142619153673
"349",1955,1,151767,-0.00363556261698113,-0.00398428320060092
"350",1955,2,144788,-0.00338816626346154,-0.00352764044325013
"351",1955,3,145720,0.00241189954901961,0.00263506779798518
"352",1955,4,147281,-0.00054616975,-0.000675115820600756
"353",1955,5,145129,0.00314840458846154,0.00351440394661921
"354",1955,6,149157,-0.00232649060377359,-0.00272809339605852
"355",1955,7,149169,-0.00420900409245283,-0.00527278181504468
"356",1955,8,142577,0.00114497127307692,0.00208227018935312
"357",1955,9,152938,0.00561403913703704,0.00609073224187187
"358",1955,10,153056,0.0047919958462963,0.00504062840742212
"359",1955,11,154525,-0.00244633872181818,-0.00282364460275036
"360",1955,12,143926,0.0004673835,0.000515647083118408
"361",1956,1,155227,0.00668346375892857,0.00761564356256772
"362",1956,2,156918,0.000884821010526316,0.000807478415777667
"363",1956,3,143747,-0.00540476122264151,-0.0070016580348042
"364",1956,4,153085,-0.00205722608816667,-0.00115344579346093
"365",1956,5,151592,0.00921716055555555,0.00982722563673017
"366",1956,6,148731,0.00216870573584906,0.0017384080312255
"367",1956,7,147131,-0.00562188376730769,-0.0065081638690378
"368",1956,8,147705,-0.00585435197358491,-0.00603988627743001
"369",1956,9,149913,0.00339795346923077,0.0039928617060295
"370",1956,10,148310,0.00101062758823529,0.000181513264733329
"371",1956,11,142472,-0.0022445074754717,-0.00190320101403434
"372",1956,12,151274,-0.00176262365636364,-0.0025616657319698
"373",1957,1,152341,0.0148804552482143,0.0165885607370839
"374",1957,2,145137,-0.000987551949090909,-0.00142333839234172
"375",1957,3,149639,0.00366385235471698,0.00343653590894954
"376",1957,4,151805,-0.00294797631730769,-0.00334418604539771
"377",1957,5,148793,-0.00155107383207547,-0.0018452809028543
"378",1957,6,148828,-0.00465920614444444,-0.00546359467968595
"379",1957,7,138475,0.00292872830188679,0.00311957886858133
"380",1957,8,135826,0.00400648113396226,0.00491593818823642
"381",1957,9,151249,0.000691761562962963,0.000149645741950691
"382",1957,10,153849,0.00369019867321429,0.00350333630851874
"383",1957,11,145142,0.0250123375071429,0.0272292092507365
"384",1957,12,155466,0.0144545507586207,0.0134441089424961
"385",1958,1,154311,0.00439080196491228,0.00459725876432788
"386",1958,2,146726,0.00812143497003965,0.00877362443992058
"387",1958,3,154103,0.00492919327068965,0.00525998725326438
"388",1958,4,153156,0.00585577039642857,0.00475526759466949
"389",1958,5,158856,0.00377899743050847,0.00406498679815053
"390",1958,6,149494,-0.00656961907321429,-0.00642052956651906
"391",1958,7,146606,-0.00683849905263158,-0.00662563416949306
"392",1958,8,147777,-0.02440133378,-0.0252748147335918
"393",1958,9,158464,-0.000501743271428571,-0.000671644410488187
"394",1958,10,160821,0.0031210839245614,0.00277315644602508
"395",1958,11,155215,0.00754665599830508,0.00721580200444673
"396",1958,12,165818,-0.00547635659166667,-0.00536455381288943
"397",1959,1,168453,-0.000966359924615385,-0.000775448226821725
"398",1959,2,157817,0.00614037960434783,0.00724973456847805
