,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200605,-1.39,-3.2,-4.11,-4.17,-7.12
200606,0.33,-0.55,0.14,1.2,-1.43
200607,2.34,-0.74,-3.24,-1.56,-6.8
200608,2.15,2.47,2.7,1.38,3.81
200609,2.56,3.04,2.07,0.74,1.14
200610,2.54,4.48,2.91,5.36,5.03
200611,0.77,2.13,2.37,3.31,6.14
200612,2.94,1.55,0.46,-1.55,-1.4
200701,0.77,2.34,2.31,2.71,2.92
200702,-2.06,-1.89,-1.31,-0.87,-0.67
200703,0.73,1.11,1.81,1.17,2.16
200704,3.52,4.19,5.06,3.87,3.33
200705,2.71,4.4,4.54,4.19,4.19
200706,-1.77,-1.41,-1.46,-1.24,-0.72
200707,-3.05,-3.44,-3.33,-3.1,-5.1
200708,2.36,0.83,0.73,0.51,-0.64
200709,3.78,2.71,2.18,5.47,4.43
200710,1.46,2.7,2.42,3.72,2.61
200711,-2.63,-5.31,-5.84,-7.49,-10.27
200712,-0.71,-0.17,0.48,-2.17,-0.93
200801,-5.31,-5.56,-8.05,-7.26,-7.99
200802,-2.08,-4.11,-2.99,-1.01,-6.24
200803,0.61,-2.06,0.29,-3.7,-4.37
200804,2.86,4.36,7.93,7.74,7.19
200805,1.66,2.16,1.6,2.87,3.88
200806,-7.44,-8.63,-10.58,-7.75,-7.4
200807,-0.32,4.59,-2.66,-8.71,-6.19
200808,2.51,2.47,1.01,-0.52,-3.06
200809,-5.08,-9.61,-9.96,-15.44,-21.87
200810,-12.92,-18.17,-20.68,-22.26,-24.11
200811,-3.62,-8.12,-14.23,-11.96,-16.6
200812,1.38,1.64,0.36,5.8,2.77
200901,-6.48,-10.72,-8.07,-7.64,-12.29
200902,-8.55,-10.04,-10.27,-14.35,-18.3
200903,6.17,10.44,11.8,14.75,18.4
200904,4.62,11.29,14.9,23.43,31.87
200905,3.56,3.39,7.17,11.92,15.1
200906,1.41,0.41,-2.04,-0.36,-2.16
200907,7.08,6.96,8.06,10.56,15.18
200908,1.59,3.88,4.9,6.2,12.83
200909,2.81,4.97,6.37,4.97,7.43
200910,-0.21,-2.79,-5.04,-5.45,-12.98
200911,5.44,6.08,5.14,5.3,4.98
200912,1.58,2.99,3.75,3.78,7.07
201001,-3.54,-2.91,-3.34,-3.5,-3.3
201002,2.35,3.53,4.59,4.38,5.97
201003,4.58,7.47,6.83,9.27,9.12
201004,1.01,2.34,1.94,3.81,6.49
201005,-7.65,-8.02,-8.09,-8.57,-8.72
201006,-4.16,-5.53,-7.57,-8.12,-10.36
201007,6.31,6.9,7.7,8.46,9.4
201008,-3.05,-6.27,-6.93,-6.05,-4.87
201009,7.6,9.65,12.21,12.68,13.77
201010,2.9,4.52,4.45,5.39,3.89
201011,-0.41,1.08,0.73,2.86,2.98
201012,5.57,7.73,7.37,9.53,6.16
201101,1.59,3.27,1.46,3.51,-0.71
201102,3.4,3.23,4.54,4.39,2.01
201103,0.18,0.4,0.82,0.82,0.74
201104,3.37,2.96,2.86,1.48,2.28
201105,-0.8,-1.16,-1.82,-2.19,-2.33
201106,-1.43,-1.88,-1.72,-2.03,-3.04
201107,-2.81,-2.67,-0.45,-2.79,-2.33
201108,-2.96,-7.1,-9.44,-9.12,-10.53
201109,-4.56,-9.03,-10.12,-11.92,-15.15
201110,8.27,14.2,15.62,17,12.16
201111,1,-0.69,-1.58,-2.15,-4.48
201112,2.94,-0.21,-1.97,-3.53,-2.21
201201,1.55,6.82,8.45,10.81,11.48
