,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200710,3.01,3.31,4.29,7.19,-0.06
200711,-5.26,-1.62,-4.82,-5.86,-5.5
200712,-0.97,0.2,1.39,0.53,-0.21
200801,-5.74,-4.06,-4.19,-12.34,-5.51
200802,-0.54,-2.56,-1.19,-3.4,-4.91
200803,-2.54,-1.25,-1.13,-2.16,0.43
200804,5.32,2.8,6.36,10.17,4.03
200805,0.32,4.98,4.67,4.02,1.85
200806,-7.79,-6.91,-5.53,-8.22,-10.47
200807,-5.96,-1.6,-4.86,-2.6,-4.2
200808,1.47,3.49,1.32,2.33,-2.02
200809,-8.37,-11.21,-12.01,-18.03,-13.95
200810,-16.66,-17.07,-19.96,-18.74,-21.92
200811,-10.72,-8.27,-12.58,-10.12,-13.01
200812,0.65,3.04,0.76,1.94,2.04
200901,-5.26,-4.73,-3.81,-5.05,-8.02
200902,-11.32,-9.39,-10.3,-7.88,-9.38
200903,11.22,9.56,7.56,9.54,13.38
200904,8.32,8.02,11.24,14.47,12.07
200905,3.89,4.32,6.72,5.74,9.55
200906,-0.43,0.23,-0.76,1.79,0.71
200907,8.18,8,7.85,8.3,8.34
200908,4.46,2.81,2.49,2.86,8.45
200909,3.24,3.48,4.28,9.13,3.96
200910,-1.08,-3.71,-2.97,-4.39,-7.77
200911,5.76,5.98,4.15,5.79,4.59
200912,1.16,5.28,7.13,3.53,1.9
201001,0.64,-7.49,-3.65,-3.12,-2.54
201002,4.07,1.98,4.18,2.82,4.93
201003,5.54,6.41,5.69,9.99,7.81
201004,0.84,0.21,3.44,5.68,1.52
201005,-8.72,-7.78,-8.39,-7.84,-9.05
201006,-1.04,-6.72,-6.1,-6.23,-8.1
201007,7.18,8.38,6.86,8.41,6.59
201008,-2.86,-5.41,-5.17,-5.02,-6.8
201009,9.52,10.91,12.34,10.14,8.39
201010,2.68,4.5,4.5,2.48,3.07
201011,0.94,1.13,1.57,2.1,0.47
201012,7.02,7.4,6.44,7.01,10.67
201101,1.46,2.02,3.16,2.03,1.48
201102,5.14,4.66,4.11,4.28,2.24
201103,1.68,2.28,-0.15,1.17,-0.01
201104,2.64,2.6,2.24,3.1,0.97
201105,-2.21,-1.31,-1.28,-1.46,-2.4
201106,-1.33,-1.38,-2.09,-1.76,-3.17
201107,-4.05,-2.93,-1.12,-0.7,-3.62
201108,-5.67,-8.39,-7.05,-7.6,-8.74
201109,-8.72,-9.06,-9.96,-7.89,-10.46
201110,12.21,14.68,12.86,11.64,13.41
201111,1.59,-1.13,0.22,-2.99,-1.53
