,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
198503,-2.3,-0.23,-0.66,1.07,2.2
198504,-1.71,-2.31,-0.89,1.38,2.37
198505,5.6,6.64,7.31,5.12,4.66
198506,1.06,2.46,1.85,1.21,2.32
198507,0.69,0.49,-0.35,-1.27,-1.33
198508,-1.86,-0.22,-0.09,0.22,0.59
198509,-4.58,-3.36,-2.78,-3.83,-4.11
198510,3.84,4.39,4.58,5.48,5.63
198511,9.38,7.71,7.55,4.52,5.01
198512,6.05,4.07,4.25,3.41,4.38
198601,0.8,1.41,1.6,-0.33,1.96
198602,7.53,9.5,8.02,6.81,7.03
198603,5.63,6.7,5.66,4.8,4.71
198604,0.92,-0.17,-1.54,-2.14,-2.81
198605,5.27,5.28,4.34,5.9,5.1
198606,1.81,1.32,1.07,1.21,2.7
198607,-7.86,-6.82,-6.02,-3.29,-3.46
198608,4.22,5.87,6,9.58,9.94
198609,-9.82,-9.16,-6.99,-7.28,-6.18
198610,5.08,6.11,5.32,4.59,5.26
198611,1.98,1.49,1.86,1.61,1.38
198612,-2.35,-2.5,-3.89,-2.71,-2.78
198701,13.38,14.95,10.87,12.12,11.61
198702,8.34,6.54,4.09,0.88,0.24
198703,1.45,2.21,0.9,2.81,3.68
198704,-1.85,-1.64,-2.52,-1.13,-0.95
198705,1.63,-0.3,-0.13,0.53,0.63
198706,4.19,4.49,5.46,4.87,4.81
198707,5.13,3.48,5.4,2.97,3.9
198708,4.49,4.74,3.53,4.29,2.33
198709,-2.29,-3.24,-0.68,-2,-2.08
198710,-23.75,-24.66,-23.22,-16.98,-20.99
198711,-8.95,-7.42,-7.02,-6.72,-6.04
198712,9.09,8.22,7.98,3.6,5.76
198801,2.07,2.44,5.09,8.25,7.98
198802,5.55,6.62,5.48,2.94,3.99
198803,-2.99,-2.1,-1.87,-2.58,0.53
198804,-0.48,1.05,1.64,1.76,2.1
198805,-0.44,-0.19,-0.51,2.17,1.67
198806,4.99,6.99,5.86,3.58,4.28
198807,-1.56,-1.61,0.27,-0.08,0.55
198808,-3.06,-4.52,-1.93,-1.06,-1.9
198809,5.21,4.18,2.47,3.4,3.88
198810,0.86,3.87,1.19,1.83,3.14
198811,-2.07,-1.66,-2.38,-0.84,-0.55
198812,2.91,2.5,1.98,1.15,0.75
198901,7.01,6.48,6.02,6.08,7.73
198902,-2.33,-1.82,-1.69,-0.95,-1.1
198903,2.43,0.91,3.46,2.49,1.94
