KYTREASNOX,CALDT,TDYTM
2000005,05/29/1975,7.3561147889
2000005,05/30/1975,7.3114507919
2000005,06/02/1975,7.2971551633
2000005,06/03/1975,7.2824104452
2000005,06/04/1975,7.2452423188
2000005,06/05/1975,7.2230322931
2000005,06/06/1975,7.1933666521
2000005,06/09/1975,7.0673061883
2000005,06/10/1975,7.030319513
2000005,06/11/1975,6.9268142074
2000005,06/12/1975,6.9268734632
2000005,06/13/1975,6.9417181973
2000005,06/16/1975,6.8975400576
2000005,06/17/1975,6.9864918771
2000005,06/18/1975,7.0758953504
2000005,06/19/1975,7.1058963274
2000005,06/20/1975,7.2862027402
2000005,06/23/1975,7.3171213382
2000005,06/24/1975,7.3173722345
2000005,06/25/1975,7.3934170276
2000005,06/26/1975,7.4850508935
2000005,06/27/1975,7.4891991952
2000005,06/30/1975,7.4558390828
2000005,07/01/1975,7.4714379529
2000005,07/02/1975,7.5406758732
2000005,07/03/1975,7.548714236
2000005,07/07/1975,7.5809803255
2000005,07/08/1975,7.504470323
2000005,07/09/1975,7.5201909681
2000005,07/10/1975,7.520554688
2000005,07/11/1975,7.4748123664
2000005,07/14/1975,7.4451228005
2000005,07/15/1975,7.4608226987
2000005,07/16/1975,7.5536308424
2000005,07/17/1975,7.5540187402
2000005,07/18/1975,7.5853461258
2000005,07/21/1975,7.6175925053
2000005,07/22/1975,7.6180169199
2000005,07/23/1975,7.6184427887
2000005,07/24/1975,7.6344217658
2000005,07/25/1975,7.6504280575
2000005,07/28/1975,7.6517678664
2000005,07/29/1975,7.6522174501
2000005,07/30/1975,7.6370611467
2000005,07/31/1975,7.809521661
2000005,08/01/1975,7.8521646939
2000005,08/04/1975,7.9519446337
2000005,08/05/1975,7.9733144374
2000005,08/06/1975,8.0237207423
2000005,08/07/1975,8.1252723155
2000005,08/08/1975,8.1031629617
2000005,08/11/1975,8.0223113858
2000005,08/12/1975,8.0657155508
2000005,08/13/1975,8.0654573259
2000005,08/14/1975,8.1090120802
2000005,08/15/1975,8.1526971976
2000005,08/18/1975,8.1076550378
2000005,08/19/1975,8.0780027185
2000005,08/20/1975,8.0629878662
2000005,08/21/1975,8.1285472027
2000005,08/22/1975,8.1208466698
2000005,08/25/1975,8.1271128996
2000005,08/26/1975,8.0826754342
2000005,08/27/1975,8.030964644
2000005,08/28/1975,7.9720227689
2000005,08/29/1975,7.9204827325
2000005,09/02/1975,7.9333438387
2000005,09/03/1975,7.9402287954
2000005,09/04/1975,7.9251653839
2000005,09/05/1975,7.9833616199
2000005,09/08/1975,8.0115557907
2000005,09/09/1975,8.0406286923
2000005,09/10/1975,8.0845414312
2000005,09/11/1975,8.1730742469
2000005,09/12/1975,8.2024795402
2000005,09/15/1975,8.2164650008
2000005,09/16/1975,8.2161697609
2000005,09/17/1975,8.1711775485
2000005,09/18/1975,8.14110377
2000005,09/19/1975,8.0516989057
2000005,09/22/1975,7.9913487898
2000005,09/23/1975,7.9909624519
2000005,09/24/1975,7.9240371662
2000005,09/25/1975,7.9679801617
2000005,09/26/1975,8.0120528822
2000005,09/29/1975,8.0183656577
2000005,09/30/1975,8.0477552961
2000005,10/01/1975,8.0474020865
2000005,10/02/1975,8.0172664068
2000005,10/03/1975,7.8685192317
2000005,10/06/1975,7.8376349177
2000005,10/07/1975,7.8964537036
2000005,10/08/1975,7.8663771082
2000005,10/09/1975,7.836314428
2000005,10/10/1975,7.7619243253
2000005,10/14/1975,7.7896479815
2000005,10/15/1975,7.8188501654
2000005,10/16/1975,7.7147350183
2000005,10/17/1975,7.7290356082
2000005,10/20/1975,7.7275984105
2000005,10/21/1975,7.682706369
2000005,10/22/1975,7.7118223023
2000005,10/23/1975,7.6373460716
2000005,10/24/1975,7.6368298102
2000005,10/27/1975,7.635284738
2000005,10/28/1975,7.5608534466
2000005,10/29/1975,7.5013206796
2000005,10/30/1975,7.3978477088
2000005,10/31/1975,7.4265919982
2000005,11/03/1975,7.468954415
2000005,11/05/1975,7.4235630308
2000005,11/06/1975,7.4082304154
2000005,11/07/1975,7.3340888731
2000005,11/10/1975,7.3174585016
2000005,11/12/1975,7.3529555548
2000005,11/13/1975,7.3891979899
2000005,11/14/1975,7.4773712463
2000005,11/17/1975,7.5500183946
2000005,11/18/1975,7.5793104071
2000005,11/19/1975,7.5787893207
2000005,11/20/1975,7.5484129542
2000005,11/21/1975,7.6376074408
2000005,11/24/1975,7.606144893
2000005,11/25/1975,7.6206395888
2000005,11/26/1975,7.605139021
2000005,11/28/1975,7.6709417843
2000005,12/01/1975,7.6211970607
2000005,12/02/1975,7.5854374203
2000005,12/03/1975,7.5568911518
2000005,12/04/1975,7.6290555455
2000005,12/05/1975,7.6148561129
2000005,12/08/1975,7.6805728923
2000005,12/09/1975,7.7315910931
2000005,12/10/1975,7.7536699647
2000005,12/11/1975,7.7030859959
2000005,12/12/1975,7.6598284273
2000005,12/15/1975,7.5159686238
2000005,12/16/1975,7.5161529441
2000005,12/17/1975,7.4587313771
2000005,12/18/1975,7.4445094168
2000005,12/19/1975,7.3585386115
2000005,12/22/1975,7.3732463231
2000005,12/23/1975,7.3733745245
2000005,12/24/1975,7.3376187982
2000005,12/26/1975,7.2519006152
2000005,12/29/1975,7.2592956408
2000005,12/30/1975,7.2450591039
2000005,12/31/1975,7.2738018491
2000005,01/02/1976,7.2883478494
2000005,01/05/1976,7.2455461448
2000005,01/06/1976,7.1882659037
2000005,01/07/1976,7.2098286747
2000005,01/08/1976,7.2458032279
2000005,01/09/1976,7.1597855892
2000005,01/12/1976,7.1599371879
2000005,01/13/1976,7.1815218561
2000005,01/14/1976,7.2607630456
2000005,01/15/1976,7.3186626974
2000005,01/16/1976,7.3767764257
2000005,01/19/1976,7.290208016
2000005,01/20/1976,7.3193127897
2000005,01/21/1976,7.3121924767
2000005,01/22/1976,7.3341017101
2000005,01/23/1976,7.2689466969
2000005,01/26/1976,7.2838021563
2000005,01/27/1976,7.2984548811
2000005,01/28/1976,7.3204092019
2000005,01/29/1976,7.3059928657
2000005,01/30/1976,7.2915741752
2000005,02/02/1976,7.2846854242
2000005,02/03/1976,7.2921031756
2000005,02/04/1976,7.3360350563
2000005,02/05/1976,7.2923741792
2000005,02/06/1976,7.2925113131
2000005,02/09/1976,7.2856215264
2000005,02/10/1976,7.3077006788
2000005,02/11/1976,7.2858987745
