,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200902,-9.93,-10.73,-9.91,-10.66,-6.28
200903,5.81,8.22,11.07,13.65,11.52
200904,4.32,10.75,11.16,16.08,20.32
200905,5.85,4.05,4.32,4.69,6.02
200906,-0.24,-0.74,1.98,0.58,2.04
200907,4.78,7.84,8.41,12.2,15.05
200908,1.06,3.12,4.19,4.14,13.28
200909,2.18,2.94,6.04,7.72,6.35
200910,-0.84,-2.14,-2.19,-3.83,-9.23
200911,5.85,4.99,5.61,5.22,7.7
200912,0.58,3.64,2.96,5.43,4.3
201001,-2.24,-3.38,-3.92,-4.95,-3.91
201002,1.47,4.15,2.76,5.61,7.19
201003,4.08,5.11,8.28,8.16,10.61
201004,0.57,1.31,2.18,4.57,5.94
201005,-6.35,-7.69,-8.83,-8.33,-11
201006,-2.98,-5.16,-7.37,-7.81,-10.36
201007,5.23,6.35,8.17,8.89,11.79
201008,-0.91,-6.11,-6.71,-6.55,-9.14
201009,6.5,9.85,11.91,12.05,12.67
201010,2.75,3.5,5.62,3.31,6.26
201011,-0.67,-0.05,1,3.13,4.6
201012,4.58,6.49,7.96,9.59,9.35
201101,0.91,2.19,3.49,2.94,2.02
201102,3.41,2.4,4.54,4.74,3.71
201103,1.34,-0.28,0.06,0.87,0.16
201104,3.76,4.25,0.74,2.04,3.65
201105,0.52,-1.49,-2.24,-2.31,-4.03
201106,-1.41,-1.51,-2.09,-2.17,-1.87
201107,-2.52,-2,-0.89,-3.62,-3.95
201108,-1.31,-5.79,-7.26,-11.2,-13.83
201109,-3.39,-6.08,-9.65,-13.69,-16.29
201110,6.4,11.5,13.62,17.2,20.64
201111,1.32,0.2,-0.91,-2.29,-3.62
201112,2.95,-0.81,0.42,-0.36,-1.76
201201,0.56,6.41,6.63,8.38,12.24
201202,1.89,4.74,6.59,5.6,6.11
201203,2.57,3.57,3.85,1.89,3.45
201204,0.65,-0.74,-1.72,-2.09,-1.96
201205,-2.17,-7.53,-6.85,-8.99,-13
201206,5.01,3.69,2.85,4.08,1.59
201207,2.17,-0.43,1.59,0.04,-2.67
201208,-0.15,2.97,4.41,4.95,6.65
201209,3.13,1.04,3.47,2.4,3.53
201210,-1.41,-1.87,-3.59,-0.17,1.78
201211,0.03,1.39,0.71,1.66,0.14
201212,-0.93,1.5,1.05,3.92,7
201301,5.86,5.76,4.12,6.17,7.41
201302,2.33,1,1.14,-0.4,-0.35
201303,4.86,3.68,2.8,3.94,4.54
201304,2.37,1.54,1.04,0.01,1.66
201305,-0.63,3.69,5.14,5.48,6.24
201306,-0.59,-0.65,-2.13,-1.9,-2.79
201307,4.83,5.61,6.02,5.4,7.79
201308,-4.14,-1.73,-3.03,-1.2,-2.32
201309,1.94,4.03,4.46,5.56,5.13
201310,4.21,5.01,3.88,3.25,3.38
201311,2.58,4.02,3.08,2.68,3.93
201312,1.16,3.1,3.07,3.52,3.35
201401,-3.09,-3.39,-3.98,-4.25,-3.09
201402,4.08,4.57,4.45,5.71,6.07
201403,1.41,-0.01,1.28,0.19,-0.47
201404,2.11,-0.58,-1.35,-0.27,-1.69
201405,0.54,3.53,2.46,2.28,1.2
201406,1.49,1.86,3.13,4.77,3.43
201407,-1.5,-0.97,-3.13,-2.89,-3.64
201408,4.78,3.82,3.87,4.17,4.95
