,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20
200510,-2.78,-1.78,-1.1,-2.39,-0.82
200511,2.9,4.89,1.97,4.55,4.91
200512,0.26,-0.53,0.72,-0.45,0.33
200601,4.82,1.78,2.57,3.52,4.33
200602,1.27,0.46,1.25,-0.71,-0.93
200603,2.53,1.47,0.7,2.28,2.21
200604,0.87,0.77,1.07,1.26,1.21
200605,-2.9,-2.03,-1.21,-2.93,-5.75
200606,0.47,0.1,-0.17,0,0.4
200607,-0.44,-0.19,1.17,-1.9,-0.96
200608,4.96,2.54,2.93,0.77,1.08
200609,3.1,2.63,1.26,2.64,2.14
200610,3.28,3.58,4.16,2.56,4.35
200611,2.03,0.67,1.99,2.4,3.7
200612,1.97,2.47,1.91,0.32,-0.82
200701,1.18,2.7,0.85,1.89,2.74
200702,-1.94,-2.46,-1.5,-1.18,-0.91
200703,0.8,0.44,1.25,0.86,2.44
200704,5.22,4.1,4.24,3.53,3.12
200705,3.48,3.09,2.89,3.53,5.3
200706,-1.19,-2.32,-1.72,-1.32,-1.41
200707,-3.57,-3.4,-2.95,-4.24,-2.71
200708,0.58,1.66,1.6,0.88,2.06
200709,2.27,2.93,3.48,3.33,4.92
200710,3.56,1.16,1.38,2.1,2.51
200711,-4.34,-4.71,-3.04,-4.51,-5.59
200712,-1.14,-1.44,0.2,-1.12,0.14
200801,-4.67,-6.54,-6.4,-3.7,-7.8
200802,-3.54,-3.71,-0.7,-4.5,-2.89
200803,-0.77,-0.39,-0.61,-1.05,-0.48
200804,2.2,2.05,5.35,6.19,6.26
200805,3.01,1.57,2.38,-0.16,3.11
200806,-7.93,-8.88,-6.96,-9.42,-8.56
200807,-2.28,1.04,-0.56,0.45,-3.06
200808,3.36,2.24,1.89,1.34,0.22
200809,-10.01,-8.46,-7.34,-7.47,-13.39
200810,-19.67,-13.93,-16.87,-16.81,-18.7
200811,-10.94,-3.98,-7.78,-7.68,-9.42
200812,0.66,2.52,2.52,0.65,2.72
200901,-7.57,-8.98,-9.63,-8.6,-4.96
200902,-8.86,-11.08,-10.64,-11.24,-6.22
200903,9.75,6.56,7.93,9.65,10.57
200904,13.74,7.69,9.53,9.51,11.51
200905,4.88,3.74,4.24,5.23,7.24
200906,2.86,1.24,-0.63,-0.29,0.67
200907,10.77,7.17,8.21,7.65,6.69
200908,6.64,3.2,2.36,2.88,3.27
200909,5.38,2.32,5.79,2.63,5.16
200910,-4.26,-1.4,-3.15,-2.5,-1.88
200911,4.47,5.42,6.37,5.76,5.29
200912,3.75,1.44,2.87,2.07,4.29
201001,-5.16,-1.98,-2.51,-2.84,-5.14
201002,4.6,2.57,3.81,3.42,3.26
201003,8,5.54,6.47,5.45,6.59
201004,3.84,1.44,1.72,2.18,1.66
201005,-7.49,-7.12,-7.63,-7.46,-9.04
201006,-8.26,-3.87,-4.5,-5.2,-6.96
201007,8.22,7.89,7.34,7.45,5.57
201008,-6.81,-7.6,-4.38,-4.21,-3.42
