KYTREASNOX,CALDT,TDYTM
2000003,05/21/1975,5.9281916662
2000003,05/22/1975,6.0231870126
2000003,05/23/1975,6.0220706704
2000003,05/27/1975,6.0827320654
2000003,05/28/1975,6.0491034141
2000003,05/29/1975,6.0480563399
2000003,05/30/1975,5.9933788292
2000003,06/02/1975,6.0255332849
2000003,06/03/1975,5.9940509988
2000003,06/04/1975,5.9942282044
2000003,06/05/1975,5.9944091355
2000003,06/06/1975,5.9626098908
2000003,06/09/1975,5.8340585845
2000003,06/10/1975,5.833822896
2000003,06/11/1975,5.7041813844
2000003,06/12/1975,5.6387772634
2000003,06/13/1975,5.6705076645
2000003,06/16/1975,5.6029657734
2000003,06/17/1975,5.7664169486
2000003,06/18/1975,5.9971147791
2000003,06/19/1975,6.0304992826
2000003,06/20/1975,6.2971301634
2000003,06/23/1975,6.3340227715
2000003,06/24/1975,6.4026814147
2000003,06/25/1975,6.505633624
2000003,06/26/1975,6.6432678323
2000003,06/27/1975,6.5771973157
2000003,06/30/1975,6.741545204
2000003,07/01/1975,6.767903611
2000003,07/02/1975,6.762970033
2000003,07/03/1975,6.789535883
2000003,07/07/1975,6.8016769214
2000003,07/08/1975,6.7328965659
2000003,07/09/1975,6.7918494673
2000003,07/10/1975,6.7869019936
2000003,07/11/1975,6.7175475522
2000003,07/14/1975,6.7019830032
2000003,07/15/1975,6.6967459349
2000003,07/16/1975,6.7241030398
2000003,07/17/1975,6.7843481729
2000003,07/18/1975,6.8449630562
2000003,07/21/1975,6.929591297
2000003,07/22/1975,7.0246412975
2000003,07/23/1975,7.0869308128
2000003,07/24/1975,7.1161271716
2000003,07/25/1975,7.1119249172
2000003,07/28/1975,7.1330571308
2000003,07/29/1975,7.0949210829
2000003,07/30/1975,7.0906205164
2000003,07/31/1975,7.1268596641
2000003,08/01/1975,7.1874544362
2000003,08/04/1975,7.2481173197
2000003,08/05/1975,7.2479786909
2000003,08/06/1975,7.3097783486
2000003,08/07/1975,7.4652232845
2000003,08/08/1975,7.4344822393
2000003,08/11/1975,7.3413663298
2000003,08/12/1975,7.3729883603
2000003,08/13/1975,7.4047934294
2000003,08/14/1975,7.4367831255
2000003,08/15/1975,7.4689590559
2000003,08/18/1975,7.4051277997
2000003,08/19/1975,7.4050347438
2000003,08/20/1975,7.4049454388
2000003,08/21/1975,7.469389356
2000003,08/22/1975,7.404778202
2000003,08/25/1975,7.4697712377
2000003,08/26/1975,7.3718111019
2000003,08/27/1975,7.3061596963
2000003,08/28/1975,7.2402016399
2000003,08/29/1975,7.2954291951
2000003,09/02/1975,7.2148753134
2000003,09/03/1975,7.2506786639
2000003,09/04/1975,7.2542587177
2000003,09/05/1975,7.2578616496
2000003,09/08/1975,7.26880965
2000003,09/09/1975,7.2725060418
2000003,09/10/1975,7.3091752865
2000003,09/11/1975,7.3791156966
2000003,09/12/1975,7.4163112632
2000003,09/15/1975,7.4957422955
2000003,09/16/1975,7.5672775564
2000003,09/17/1975,7.5719071654
2000003,09/18/1975,7.4753506015
2000003,09/19/1975,7.3783620216
2000003,09/22/1975,7.322807281
2000003,09/23/1975,7.3268571904
2000003,09/24/1975,7.330934042
2000003,09/25/1975,7.3350380758
2000003,09/26/1975,7.3736036575
2000003,09/29/1975,7.4211991733
2000003,09/30/1975,7.5232344246
2000003,10/01/1975,7.5213901352
2000003,10/02/1975,7.4559851021
2000003,10/03/1975,7.2948409312
2000003,10/06/1975,7.0634029601
2000003,10/07/1975,7.1886828941
2000003,10/08/1975,7.1537746445
2000003,10/09/1975,7.0219864439
2000003,10/10/1975,6.8251537873
2000003,10/14/1975,6.8102570628
2000003,10/15/1975,6.8718701881
2000003,10/16/1975,6.7371961139
2000003,10/17/1975,6.7332202116
2000003,10/20/1975,6.6549962747
2000003,10/21/1975,6.5512905478
2000003,10/22/1975,6.5467671784
2000003,10/23/1975,6.5089017005
2000003,10/24/1975,6.4708405227
2000003,10/27/1975,6.4901297628
2000003,10/28/1975,6.4178373352
2000003,10/29/1975,6.3451837991
2000003,10/30/1975,6.1027521075
2000003,10/31/1975,6.1582730072
2000003,11/03/1975,6.2190961051
2000003,11/05/1975,6.1854698743
2000003,11/06/1975,6.1845839155
2000003,11/07/1975,6.0871649188
2000003,11/10/1975,6.0513012118
2000003,11/12/1975,6.1466107063
2000003,11/13/1975,6.2110512909
2000003,11/14/1975,6.3087236481
2000003,11/17/1975,6.3070882528
2000003,11/18/1975,6.3397524493
2000003,11/19/1975,6.3392992933
2000003,11/20/1975,6.3388468694
2000003,11/21/1975,6.4389126276
2000003,11/24/1975,6.3708207415
2000003,11/25/1975,6.4043483137
2000003,11/26/1975,6.404091039
2000003,11/28/1975,6.4147699328
2000003,12/01/1975,6.4109073857
2000003,12/02/1975,6.4090824247
2000003,12/03/1975,6.4072510636
2000003,12/04/1975,6.5648431296
2000003,12/05/1975,6.6274268435
2000003,12/08/1975,6.6559066629
2000003,12/09/1975,6.6870911053
2000003,12/10/1975,6.6535324979
2000003,12/11/1975,6.5872854502
2000003,12/12/1975,6.5207274501
2000003,12/15/1975,6.4503908397
2000003,12/16/1975,6.4486492328
2000003,12/17/1975,6.3809077634
2000003,12/18/1975,6.4120552101
2000003,12/19/1975,6.1782140034
2000003,12/22/1975,6.1373189862
2000003,12/23/1975,6.1012407857
2000003,12/24/1975,6.0649750536
2000003,12/26/1975,5.9581778257
2000003,12/29/1975,5.9487060419
2000003,12/30/1975,5.877392628
2000003,12/31/1975,5.9673363575
2000003,01/02/1976,5.9920459473
2000003,01/05/1976,5.9183870127
2000003,01/06/1976,5.819312725
2000003,01/07/1976,5.7198075037
2000003,01/08/1976,5.68374789
2000003,01/09/1976,5.5834788976
2000003,01/12/1976,5.5377022824
2000003,01/13/1976,5.5330652334
2000003,01/14/1976,5.5608367341
2000003,01/15/1976,5.6213100338
